id,Nombre Comercial,Clasificación,Categoría,Dirección,Dirección Web
1,FAMA LA,FUENTE DE SODA,SEGUNDA,BOLIVAR 12-86 ,
2,COLONIAS LAS No.3,RESTAURANTE,TERCERA,AV. ESPAÑA Y AV. HURTADO DE MENDOZA,
3,QUINTA ELOISA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,JOSE RAFAEL PEÑAHERRERA Y FERNANDO DE ARAGON ,
4,PINGUINO,FUENTE DE SODA,TERCERA,REMIGIO CRESPO 6 87,
5,VILLA VERDE RECEPCIONES Y EVENTOS,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,AV. DE LAS AMERICAS 9-263 Y MANUELA SAENZ ,
6,HOTEL CORDERO,HOTEL,3 Estrellas,BOLIVAR 6-50 BORRERO,
7,HOTEL PUERTO BALLESTA,HOTEL,2 Estrellas,CALLE A S/N BOULEVAR DEL MAR,www.puertoballesta.com
8,CONEJOS,RESTAURANTE,TERCERA,AV. ESPAÑA N.- 9-42 Y FRANCISCO PIZARRO,
9,EL CARMELO AVENTURA AGROTURISTICA,HOSTERÍA,3 Estrellas,via principal 1 SIN NOMBRE,
10,DEPARTAMENTO TOPACIO,CASA DE HUÉSPEDES,Categoría única,DEL ARUPO 1-05 ALISOS,
11,SUMAQ KAY,HOTEL,3 ESTRELLAS,Maquiavelo E6-157 y Av. Siena,www.sumaqkay.com
12,CAPPUCHINO,FUENTE DE SODA,PRIMERA, BOLIVAR 10-09 Y PADRE AGUIRRE,
13,CAFE TERTULIAS,CAFETERÍA,CUARTA,MARIANO CUEVA 4-91 Y HONORATO VASQUEZ,
14,GOLDEN BAMBOO FUSION ORIENTAL,RESTAURANTE,SEGUNDA,"AV. PEDRO MENENDEZ GILBERT 100, PUERTO SANTA ANA ED. RIVER FRONT 2, LOCAL 2",
15,STREET DOG'S,FUENTE DE SODA,TERCERA,"ELIA LIUT Y CALLE VIEJA, C.C. MIRAFLORES",
16,PEÑA NUESTRA AMERICA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,PASACALLE S/N,
17,DIANITA,HOSTAL,1 Estrellas,QUITO S/N SIMÓN BOLIVAR,
18,PICHINCHA INTERNACIONAL,HOSTAL,1 Estrellas,JUAN MONTALVO 9-78 GRAN COLOMBIA,
19,LEO'S HOT DOG,FUENTE DE SODA,TERCERA,AV.12 DE ABRIL Y UNIDAD NACIONAL,
20,INCA REAL,HOTEL,3 Estrellas,GENERAL TORRES 8-40 SUCRE,www.hotelincareal.com.ec
21,FOS,RESTAURANTE,(1) Un tenedor,EL BATAN S/N AV 12 DE ABRIL,
22,MARIA NATIVIDAD EVENTOS,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,CAMINO A RAYOLOMA,
23,EL AMANECER,BAR,(1) Una copa,,
24,CENTRO DE RECREACIÓN TURÍSTICA FREDDY AYUY,TERMAS Y BALNEARIOS,SEGUNDA,"BARRIO LAS PALMERAS, A DOS CUADRAS DE LA ESCUELA FISCAL",
25,DON FRANCISCO EL SABOR ORIGINAL,RESTAURANTE,SEGUNDA / 3 TENEDORES,Imbabura N4-54 Y Mideros,
26,DOÑA MENESTRA N 2,RESTAURANTE,PRIMERA,AV DEL ESTADIO Y JOSE PERALTA,
27,SABOR LATINO,RESTAURANTE,TERCERA,TARQUI 9 30 Y BOLIVAR,
