,palabra,frecuencia
0,bien,9
1,aspectos,1
2,infraestructura,1
3,universidad,6
4,docencialo,1
5,único,1
6,si,3
7,mucha,1
8,carga,2
9,trabajos,2
10,todavía,1
11,hace,2
12,díficil,1
13,acoplarme,1
14,sistema,1
15,u,1
16,actividades,2
17,podría,1
18,mejorarse,1
19,horarios,5
20,tutoría,1
21,refiero,1
22,clases,8
23,zoom,1
24,chocan,1
25,materias,8
26,perdiendo,1
27,posibilidad,1
28,poder,4
29,interactuar,1
30,hacer,3
31,preguntas,1
32,punto,1
33,vista,1
34,dificulta,2
35,línea,1
36,cuestión,1
37,atención,1
38,preferiría,1
39,siguiente,1
40,ciclo,2
41,completamente,1
42,modalidad,4
43,presencial,1
44,puesto,1
45,online,1
46,distraigo,1
47,cuesta,1
48,captar,1
49,información,3
50,primera,2
51,espero,2
52,anhelo,1
53,pueda,2
54,cumplir,3
55,compañeros,1
56,incluso,1
57,transcurso,1
58,deben,1
59,dar,3
60,abiertas,1
61,vivo,1
62,tutorias,2
63,explicando,1
64,ligera,1
65,deberian,2
66,entrar,2
67,tema,1
68,asi,2
69,entender,1
70,materia,2
71,mayoria,1
72,entienden,1
73,preocupan,1
74,pasar,1
75,semestre,1
76,seleccionar,1
77,flexibles,1
78,coincidan,1
79,mismo,1
80,día,1
81,varias,1
82,asistir,1
83,mismas,1
84,respaldan,1
85,capacidad,1
86,leer,2
87,referencias,1
88,externas,1
89,autores,1
90,innecesariamente,1
91,locuaces,1
92,vez,2
93,aprovechar,1
94,interactividad,1
95,entorno,1
96,virtual,1
97,aprendizaje,2
98,traducir,1
99,ideas,1
100,ocultas,1
101,detrás,1
102,verborragia,1
103,veces,4
104,exponen,1
105,agregar,1
106,ahorita,1
107,cuanto,3
108,tutorías,5
109,dias,1
110,podre,1
111,dia,1
112,trabajo,6
113,salgo,1
114,tarde,1
115,cuento,1
116,internet,3
117,lugar,1
118,creo,1
119,tener,4
120,mayor,1
121,flexibilidad,2
122,momento,2
123,participar,1
124,dentro,2
125,chats,1
126,choca,1
127,horario,3
128,dieran,1
129,mas,8
130,tiempo,3
131,persona,1
132,trabaja,1
133,corresponde,1
134,asignaturas,1
135,solo,2
136,temas,2
137,puedo,1
138,tareas,1
139,tal,1
140,motivo,1
141,voy,1
142,calificación,2
143,gustaría,1
144,opción,1
145,0,1
146,revisión,1
147,comentarios,2
148,parte,1
149,profesores,4
150,contestan,2
151,quedamos,1
152,duda,1
153,dejan,1
154,linea,1
155,siquiera,2
156,25,1
157,minutos,1
158,desaparecen,1
159,causan,1
160,sueño,1
161,limitan,1
162,correos,1
163,pidiendo,1
164,ayudadeberian,1
